tags,hasConnection,level1_tags,coded_tags,idauthor
"['N', 'J', 'Q']",['p01438'],"['P', 'L', 'Q', 'Z', 'E', 'N', 'J', 'H', 'D', 'O']",[0 0 0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 0 1],p00313
"['K', 'L', 'P', 'I', 'C', 'N', 'J', 'M', 'G', 'H', 'D', 'R', 'O']","['p05559', 'p03921', 'p01705', 'p01412', 'p04368', 'p04176', 'p04005', 'p00768', 'p04377', 'p01041', 'p04276', 'p02934', 'p04300', 'p02803', 'p04809', 'p04904']","['K', 'L', 'P', 'Q', 'Z', 'E', 'F', 'N', 'I', 'J', 'M', 'O', 'G', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],p00314
"['D', 'C']","['p04479', 'p04366', 'p03410']","['K', 'E', 'O', 'J', 'D', 'C']",[0 0 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0],p00317
"['D', 'C']","['p02296', 'p04385', 'p02636']","['Q', 'E', 'C', 'I', 'D', 'O']",[0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0],p00318
['O'],"['p05161', 'p01317']","['L', 'Q', 'E', 'J', 'I', 'H', 'D', 'O']",[0 0 0 1 1 0 0 1 1 1 0 1 0 0 1 0 1 0 0],p00319
"['L', 'F', 'D', 'R', 'O']","['p01031', 'p03866', 'p01925', 'p00476', 'p05037', 'p01148']","['K', 'P', 'L', 'F', 'N', 'O', 'J', 'H', 'D', 'R', 'C']",[0 0 1 1 0 1 0 1 0 1 1 1 0 1 1 1 0 1 0],p00320
"['J', 'C']",['p05667'],"['J', 'C']",[0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],p00321
"['F', 'L']","['p01944', 'p01408']","['L', 'E', 'F', 'J', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0],p00323
"['D', 'C']",['p04825'],"['K', 'D', 'C']",[0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],p00324
"['G', 'E', 'H', 'D']","['p04957', 'p02352']","['G', 'E', 'D', 'H']",[0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0],p00325
"['L', 'E', 'F', 'N', 'G', 'D', 'O']","['p00276', 'p05093', 'p02003', 'p00903', 'p04119', 'p05395', 'p00462', 'p04311']","['L', 'E', 'F', 'N', 'C', 'J', 'M', 'G', 'H', 'D', 'R', 'O']",[0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0],p00327
"['F', 'D', 'L', 'O']","['p02749', 'p02685', 'p01140', 'p05030', 'p01491', 'p02156', 'p04242', 'p04726', 'p01601', 'p00684', 'p04469', 'p02190']","['P', 'L', 'E', 'F', 'N', 'J', 'G', 'H', 'D', 'R', 'O']",[0 0 0 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 0],p00329
"['E', 'C']",['p05158'],"['E', 'C']",[0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00330
['D'],"['p03442', 'p02623', 'p01107']","['E', 'D']",[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00331
"['I', 'D', 'C']","['p00913', 'p00029']","['I', 'D', 'C']",[0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],p00334
"['L', 'C']","['p05107', 'p03886']","['L', 'C']",[0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p00335
"['K', 'D', 'L']",['p02451'],"['K', 'D', 'L']",[0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0],p00336
"['G', 'D']",['p03751'],"['G', 'D', 'L', 'C']",[0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p00337
"['G', 'K', 'L', 'O']","['p03370', 'p01661']","['G', 'K', 'L', 'O']",[0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0],p00338
"['G', 'E', 'N', 'R']","['p03825', 'p02908']","['E', 'N', 'G', 'H', 'D', 'R']",[0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0],p00339
"['D', 'C']","['p04178', 'p03228']","['N', 'J', 'H', 'D', 'C']",[0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0],p00341
"['I', 'H', 'J']",['p03492'],"['K', 'N', 'J', 'I', 'H']",[0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0],p00342
"['H', 'K']",[],"['H', 'K']",[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0],p00343
"['J', 'C']",['p03653'],"['E', 'J', 'C']",[0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0],p00345
"['E', 'H', 'J', 'D']",['p00175'],"['L', 'E', 'J', 'M', 'H', 'D']",[0 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0],p00346
['E'],"['p02666', 'p05451']",['E'],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00348
['G'],"['p02497', 'p02060']",['G'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00349
['C'],['p04951'],"['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00350
"['E', 'I', 'G', 'D', 'C']","['p01209', 'p03449', 'p02288', 'p00930', 'p02807', 'p04142', 'p00724', 'p01806', 'p00797']","['L', 'G', 'E', 'J', 'I', 'H', 'D', 'C']",[0 0 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0],p00351
"['F', 'N', 'J', 'O']",['p03986'],"['Z', 'F', 'N', 'J', 'G', 'D', 'O']",[0 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1],p00352
"['L', 'F', 'J', 'D', 'C']","['p02047', 'p04121', 'p03110', 'p04071']","['L', 'F', 'C', 'J', 'D', 'O']",[0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0],p00353
"['A', 'L', 'J', 'H', 'D', 'C']","['p01874', 'p01067', 'p01516', 'p03092', 'p01252', 'p04346', 'p04269', 'p04011', 'p03926', 'p04501', 'p02236']","['A', 'K', 'L', 'E', 'I', 'C', 'J', 'M', 'G', 'H', 'D', 'R', 'O']",[1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 0],p00355
"['G', 'F', 'C']",['p04017'],"['G', 'F', 'C']",[0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0],p00357
"['H', 'D']",['p01592'],"['I', 'H', 'D']",[0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],p00358
"['D', 'C']",['p05569'],"['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00359
"['J', 'D']","['p04986', 'p00720']","['J', 'D']",[0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],p00361
"['D', 'O']","['p00535', 'p02308', 'p03278']","['A', 'K', 'O', 'D', 'C']",[1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0],p00362
"['D', 'H', 'J', 'C']",['p01878'],"['L', 'J', 'M', 'H', 'D', 'C']",[0 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0],p00363
"['G', 'D']",[],"['G', 'D']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00364
"['D', 'L', 'Q']",['p02319'],"['L', 'Q', 'I', 'H', 'D']",[0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0],p00365
"['L', 'Q', 'H', 'D', 'R']","['p01577', 'p03908', 'p05023']","['L', 'Q', 'E', 'H', 'D', 'R']",[0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0],p00366
"['J', 'D']","['p02183', 'p01372']","['K', 'L', 'O', 'J', 'I', 'H', 'D', 'C']",[0 0 1 1 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0],p00367
"['G', 'D']","['p05048', 'p03850', 'p00155', 'p00427']","['G', 'D']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00368
['C'],['p05552'],['C'],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00369
['D'],['p05357'],['D'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00370
"['K', 'L', 'G', 'H', 'D', 'C']","['p02184', 'p03358', 'p03392', 'p02766', 'p04195', 'p02696', 'p01901', 'p05641', 'p02565', 'p02185', 'p05488']","['K', 'L', 'Z', 'G', 'E', 'F', 'J', 'M', 'I', 'H', 'D', 'C']",[0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1],p00373
"['D', 'C']","['p00626', 'p02070']","['K', 'J', 'I', 'D', 'C']",[0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0],p00374
"['D', 'L', 'O']",['p05530'],"['L', 'E', 'F', 'G', 'H', 'D', 'O']",[0 0 0 1 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0],p00375
"['I', 'F', 'D', 'C']",[],"['I', 'F', 'D', 'C']",[0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0],p00379
['D'],['p02637'],['D'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00380
"['G', 'E', 'L']","['p05132', 'p04476', 'p02464', 'p04236', 'p02841']","['L', 'E', 'F', 'J', 'M', 'G', 'O']",[0 0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 0 0 0],p00381
"['D', 'P', 'C']","['p05231', 'p00120']","['P', 'F', 'H', 'D', 'R', 'C']",[0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0],p00382
['O'],['p01290'],"['A', 'Q', 'Z', 'C', 'J', 'I', 'H', 'D', 'O']",[1 0 1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1],p00383
"['F', 'D']","['p00473', 'p05204', 'p05382', 'p00604', 'p01201']","['Z', 'F', 'N', 'J', 'D', 'C']",[0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1],p00385
['H'],"['p03917', 'p00908']",['H'],[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],p00386
"['G', 'H', 'E']","['p03775', 'p05237', 'p01187']","['Q', 'G', 'E', 'F', 'N', 'O', 'J', 'I', 'H', 'D', 'C']",[0 0 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 0],p00387
"['L', 'E', 'F', 'J', 'O']","['p03177', 'p02367', 'p04850']","['L', 'E', 'F', 'J', 'O']",[0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0],p00389
"['I', 'N', 'J']","['p00048', 'p04853', 'p02764']","['G', 'E', 'N', 'J', 'M', 'I', 'R', 'O']",[0 0 0 0 1 0 1 0 1 1 0 0 1 1 1 0 0 1 0],p00390
"['D', 'C']","['p01452', 'p02104', 'p01672']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p00391
