tags,hasConnection,level1_tags,coded_tags,idauthor
"['E', 'H']","['p03130', 'p03616', 'p02990', 'p01151', 'p02346']","['E', 'D', 'F', 'H', 'I', 'J', 'G']",[0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],p00076
"['L', 'D']",[],"['L', 'D']",[0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p00078
"['M', 'J']","['p02968', 'p01136']","['D', 'O', 'H', 'I', 'M', 'J', 'G']",[0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 0 0],p00079
"['E', 'N', 'D']",['p03476'],"['E', 'N', 'D', 'C']",[1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0],p00080
"['F', 'N']","['p00083', 'p03485', 'p03001']","['F', 'N']",[0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0],p00081
"['F', 'N']","['p00081', 'p03485', 'p03001']","['F', 'N']",[0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0],p00083
"['Q', 'I', 'D', 'O']","['p04137', 'p04035', 'p00815']","['L', 'D', 'O', 'H', 'I', 'Q']",[0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0],p00085
"['F', 'J']",['p04953'],"['F', 'J']",[0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0],p00086
"['G', 'K', 'L']","['p05151', 'p00589']","['G', 'K', 'L']",[0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0],p00087
"['R', 'J']","['p00560', 'p03662']","['R', 'J']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0],p00088
"['G', 'L']",['p03251'],"['G', 'L', 'D']",[0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p00090
"['L', 'D']","['p00869', 'p04288']","['G', 'L', 'D']",[0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p00091
"['E', 'D', 'N', 'C', 'G']","['p01340', 'p02930', 'p03820', 'p04038']","['E', 'D', 'N', 'R', 'C', 'G']",[1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0],p00092
['F'],['p05516'],['F'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],p00093
